symbol,yahoo_ticker,class,rows,start,end,fetch_date,source
US500,^GSPC,Index,14260,1970-01-02,2026-07-23,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
US100,^NDX,Index,10281,1985-10-01,2026-07-23,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
US2000,^RUT,Index,9790,1987-09-10,2026-07-23,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
US30,^DJI,Index,8700,1992-01-02,2026-07-23,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
EURUSD,EURUSD=X,FX,5877,2003-12-01,2026-07-24,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
GBPUSD,GBPUSD=X,FX,5889,2003-12-01,2026-07-26,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
USDJPY,USDJPY=X,FX,7711,1996-10-30,2026-07-24,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
AUDUSD,AUDUSD=X,FX,5253,2006-05-15,2026-07-26,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
NZDUSD,NZDUSD=X,FX,5878,2003-12-01,2026-07-26,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
USDCHF,USDCHF=X,FX,5943,2003-09-16,2026-07-26,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
USDCAD,USDCAD=X,FX,5945,2003-09-16,2026-07-26,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
BTCUSD,BTC-USD,Crypto,4331,2014-09-17,2026-07-26,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
ETHUSD,ETH-USD,Crypto,3182,2017-11-09,2026-07-26,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
XAUUSD,GC=F,Commodity,6498,2000-08-30,2026-07-24,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
XAGUSD,SI=F,Commodity,6500,2000-08-30,2026-07-24,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
UKOIL,BZ=F,Commodity,4725,2007-07-30,2026-07-24,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
USOIL,CL=F,Commodity,6507,2000-08-23,2026-07-24,2026-07-26,"Yahoo Finance v8 chart, interval=1d"
